#(0)
ElaspedMS	T	X	Y	Z	C	Intensity
100		0	12	34	2	0	0.456
100		0	12	34	2	1	0.7586
100		0	12	34	2	2	0.489
100		0	56	57	3	2	0.456
200		1	12	34	2	0	0.4567

#(1) - openable in excel, etc.
CMSO:ElaspedMS	OME:T	OME:X	OME:Y	OME:Z	OME:C	CMSO:Intensity	CMSO:ObjID
100		0	12	34	2	0	0.456		1
100		0	12	34	2	1	0.7586
100		0	12	34	2	2	0.489
100		0	56	57	3	2	0.456		2
200		1	12	34	2	0	0.4567		1

#(2)
#COM A Comment
#ONT OME	http://openmicroscopy.org/schema/2015-10
#ONT CMSO	http://cmso.org/...
#COL CMSO:Epoch	Unit:epoch
CMSO:Epoch	OME:T	OME:X	OME:Y	OME:Z	OME:C	CMSO:Intensity	CMSO:ObjID
100		0	12	34	2	0	0.456		1
100		0	12	34	2	1	0.7586
100		0	12	34	2	2	0.489
100		0	56	57	3	2	0.456		2
200		1	12	34	2	0	0.4567		1

#(3)
# Schema: positions.xml
